year,region,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1987,"Central America",Earthquake,1,2,3000,50,0,3050,0
1987,"Central America",Flood,3,100,6500,27,200,6727,0
1987,"Central America","Volcanic activity",1,0,3000,35,0,3035,0
1987,"Central America",Wildfire,1,0,0,0,0,0,0
1987,"Northern America",Earthquake,2,8,2200,94,0,2294,217000
1987,"Northern America","Extreme temperature ",1,80,0,0,0,0,0
1987,"Northern America",Flood,2,1,0,0,0,0,185000
1987,"Northern America",Storm,10,177,3200,290,0,3490,519000
1987,"South America",Drought,1,0,750000,0,0,750000,0
1987,"South America",Earthquake,3,5007,0,118,155000,155118,1501000
1987,"South America",Flood,11,493,197164,598,81500,279262,239000
1987,"South America",Landslide,7,976,25000,2811,2040,29851,800
1987,"South America",Storm,1,1,1000,0,0,1000,10000
1987,"South America",Wildfire,1,0,152000,2,750,152752,100000
1988,Caribbean,Flood,9,50,1284850,13,200,1285063,440
1988,Caribbean,Storm,5,148,1740000,0,1500,1741500,2091286
1988,"Central America",Drought,1,0,0,0,0,0,0
1988,"Central America",Earthquake,2,5,500,0,1550,2050,0
1988,"Central America","Extreme temperature ",1,23,0,0,0,0,600
1988,"Central America",Flood,5,59,70260,0,3425,73685,9000
1988,"Central America",Landslide,1,22,0,0,0,0,0
1988,"Central America",Storm,7,476,526732,7790,87000,621522,846000
1988,"Northern America",Drought,2,0,0,0,0,0,810000
1988,"Northern America",Flood,4,2,0,0,0,0,15000
1988,"Northern America",Storm,18,27,0,0,0,0,0
1988,"South America",Drought,3,0,0,0,0,0,48400
1988,"South America",Epidemic,3,230,170,0,0,170,0
1988,"South America","Extreme temperature ",1,77,0,0,0,0,0
1988,"South America",Flood,9,904,7815480,2534,35000,7853014,1520000
1988,"South America",Landslide,1,80,5000,25,1000,6025,0
1988,"South America",Storm,2,37,100000,0,0,100000,50000
1988,"South America","Volcanic activity",2,0,3900,0,0,3900,0
1989,Caribbean,Flood,2,0,24930,0,0,24930,0
1989,Caribbean,Landslide,1,0,0,60,1000,1060,0
1989,Caribbean,Storm,11,30,12210,124,32830,45164,507800
1989,"Central America",Earthquake,1,3,0,350,0,350,0
1989,"Central America",Flood,3,60,0,0,0,0,0
1989,"Central America","Mass movement (dry)",1,10,0,0,0,0,0
1989,"Central America",Wildfire,1,0,0,0,0,0,83200
1989,"Northern America",Earthquake,2,67,300,3757,15,4072,5600000
1989,"Northern America","Extreme temperature ",1,84,0,0,0,0,0
1989,"Northern America",Storm,18,108,0,100,25000,25100,7880000
1989,"Northern America",Wildfire,1,1,25000,0,0,25000,4200000
1989,"South America",Earthquake,1,0,0,0,2000,2000,0
1989,"South America",Epidemic,2,104,97,0,0,97,0
1989,"South America",Flood,9,247,730000,0,334444,1064444,15000
1989,"South America",Landslide,3,130,78000,0,0,78000,0
1989,"South America",Storm,1,36,45000,0,0,45000,0
1990,Caribbean,Epidemic,1,0,300,0,0,300,0
1990,Caribbean,Flood,2,4,5000,0,6000,11000,0
1990,Caribbean,Storm,10,8,3500,0,0,3500,0
1990,"Central America",Earthquake,3,1,300,309,14000,14609,19500
1990,"Central America",Epidemic,1,200,0,0,0,0,0
1990,"Central America","Extreme temperature ",2,380,0,0,0,0,2250
1990,"Central America",Flood,4,54,166211,100,6000,172311,146200
1990,"Central America",Storm,1,38,0,0,0,0,90700
1990,"Northern America",Earthquake,2,0,120,30,0,150,12700
1990,"Northern America",Epidemic,1,3,50,0,0,50,0
1990,"Northern America","Extreme temperature ",2,11,0,0,0,0,40000
1990,"Northern America",Flood,5,46,3350,0,0,3350,53500
1990,"Northern America",Storm,15,162,10668,0,0,10668,635000
1990,"South America",Drought,2,0,2483160,0,0,2483160,36000
1990,"South America",Earthquake,2,204,76500,810,30000,107310,1000
1990,"South America",Epidemic,1,74,9506,0,0,9506,0
1990,"South America",Flood,12,116,43025,0,2500,45525,0
1990,"South America",Landslide,1,33,0,0,0,0,0
1990,"South America","Volcanic activity",1,0,4000,0,0,4000,0
1991,Caribbean,Flood,2,25,550000,0,1340,551340,30000
1991,"Central America",Earthquake,6,91,40770,885,12900,54555,100000
1991,"Central America",Epidemic,5,432,39863,0,0,39863,0
1991,"Central America",Flood,4,36,185000,82,64000,249082,2000
1991,"Central America","Mass movement (dry)",1,23,0,0,0,0,0
1991,"Central America",Storm,1,13,9800,0,200,10000,0
1991,"Central America","Volcanic activity",1,0,0,0,0,0,0
1991,"Central America",Wildfire,1,0,0,0,0,0,80000
1991,"Northern America",Drought,2,0,0,0,0,0,1335000
1991,"Northern America",Earthquake,1,2,0,100,0,100,33500
1991,"Northern America",Epidemic,1,18,171,0,0,171,0
1991,"Northern America",Flood,14,15,0,0,0,0,850000
1991,"Northern America",Storm,18,87,2900,100,0,3000,3060000
1991,"Northern America",Wildfire,2,28,0,0,300,300,2500000
1991,"South America",Drought,1,0,0,0,0,0,200000
1991,"South America",Earthquake,3,66,47070,787,295,48152,0
1991,"South America",Epidemic,8,10963,266808,79725,0,346533,0
1991,"South America","Extreme temperature ",1,25,0,0,0,0,0
1991,"South America",Flood,2,20,18500,0,0,18500,2000
1991,"South America","Insect infestation",1,0,2000,0,0,2000,0
1991,"South America",Landslide,5,270,65117,140,18271,83528,6400
1991,"South America","Volcanic activity",2,0,124000,0,2400,126400,15000
1991,"South America",Wildfire,1,0,0,0,0,0,0
1992,Caribbean,Drought,1,0,1000000,0,0,1000000,0
1992,Caribbean,Earthquake,1,0,5829,40,0,5869,0
1992,Caribbean,Epidemic,1,20,0,0,0,0,0
1992,Caribbean,Flood,3,21,9927,0,0,9927,202590
1992,Caribbean,Storm,1,4,0,0,1700,1700,250000
1992,"Central America",Earthquake,1,179,5690,489,0,6179,25000
1992,"Central America",Epidemic,3,263,350,0,0,350,0
1992,"Central America","Extreme temperature ",2,80,0,0,16000,16000,78000
1992,"Central America",Flood,1,2,8000,0,0,8000,0
1992,"Central America",Storm,2,15,10000,50,0,10050,13000
1992,"Central America","Volcanic activity",2,1,305000,75,0,305075,0
1992,"Central America",Wildfire,1,0,1200,0,0,1200,0
1992,"Northern America",Earthquake,3,1,0,426,0,426,275000
1992,"Northern America",Epidemic,1,17,0,0,0,0,0
1992,"Northern America","Extreme temperature ",1,0,0,0,0,0,2000000
1992,"Northern America",Storm,27,95,45000,55,250000,295055,34500000
1992,"Northern America",Wildfire,3,0,450,0,540,990,295000
1992,"South America",Drought,1,0,1100000,0,0,1100000,250000
1992,"South America",Earthquake,1,11,0,135,1500,1635,0
1992,"South America",Epidemic,4,989,3883,0,0,3883,0
1992,"South America",Flood,12,178,370998,320,209574,580892,755800
1992,"South America",Landslide,2,79,0,160,500,660,400000
1992,"South America",Storm,2,0,0,0,38000,38000,0
1992,"South America",Wildfire,1,0,0,0,0,0,120000
1993,Caribbean,Drought,2,0,0,0,0,0,0
1993,Caribbean,Epidemic,1,0,49358,0,0,49358,0
1993,Caribbean,Flood,7,103,569290,0,32092,601382,151070
1993,Caribbean,Storm,3,7,149680,105,3000,152785,1000057
1993,"Central America",Earthquake,2,3,200,40,0,240,0
1993,"Central America",Flood,5,487,345947,1,36240,382188,209700
1993,"Central America",Landslide,1,22,0,0,0,0,0
1993,"Central America",Storm,6,75,177000,0,23000,200000,1672500
1993,"Northern America",Earthquake,1,2,3000,0,0,3000,7500
1993,"Northern America",Epidemic,1,100,403000,0,0,403000,0
1993,"Northern America","Extreme temperature ",1,48,0,0,0,0,0
1993,"Northern America",Flood,7,98,44100,0,0,44100,12290000
1993,"Northern America",Storm,20,291,0,300,300,600,5125000
1993,"Northern America",Wildfire,1,3,0,130,0,130,1000000
1993,"South America",Earthquake,2,8,3131,85,0,3216,0
1993,"South America",Flood,6,252,300993,91,1475,302559,1126000
1993,"South America",Landslide,4,470,76078,68,0,76146,500000
1993,"South America","Mass movement (dry)",1,75,2250,36,125,2411,0
1993,"South America",Storm,3,115,6000,400,9500,15900,54500
1993,"South America","Volcanic activity",2,16,350,6,0,356,0
1993,"South America",Wildfire,1,0,0,0,0,0,0
1994,Caribbean,Drought,1,0,0,0,0,0,2000
1994,Caribbean,Flood,1,12,38600,0,0,38600,0
1994,Caribbean,Storm,4,1132,1568338,0,129970,1698308,152968
1994,"Central America",Drought,5,0,75000,0,0,75000,38000
1994,"Central America",Flood,4,163,2600,0,16056,18656,3000
1994,"Central America","Volcanic activity",2,0,75700,0,0,75700,0
1994,"Northern America",Earthquake,2,60,225,7000,20000,27225,30002100
1994,"Northern America",Flood,1,37,14000,70,0,14070,700000
1994,"Northern America",Landslide,1,0,125,0,0,125,0
1994,"Northern America",Storm,11,165,21600,454,1000,23054,853000
1994,"Northern America",Wildfire,4,13,4400,2,30,4432,2000
1994,"South America",Drought,2,0,50000,0,0,50000,0
1994,"South America",Earthquake,2,276,12461,158,24797,37416,2400
1994,"South America","Extreme temperature ",1,0,0,0,0,0,475000
1994,"South America",Flood,6,148,98519,180,20400,119099,50000
1994,"South America",Landslide,2,18,165000,18,500,165518,0
1994,"South America",Storm,2,0,0,0,2000,2000,91000
1994,"South America",Wildfire,2,24,0,0,0,0,0
1995,Caribbean,Epidemic,1,2,1252,0,0,1252,0
1995,Caribbean,Flood,1,0,33180,0,0,33180,0
1995,Caribbean,Storm,19,27,140260,199,21037,161496,3220400
1995,Caribbean,"Volcanic activity",1,0,5000,0,0,5000,0
1995,"Central America",Drought,1,0,0,0,0,0,100000
1995,"Central America",Earthquake,3,64,54735,125,12275,67135,21100
1995,"Central America",Epidemic,8,45,55537,0,0,55537,0
1995,"Central America","Extreme temperature ",1,49,0,0,0,0,0
1995,"Central America",Flood,5,54,36700,55,280,37035,11500
1995,"Central America",Storm,8,226,39147,22,50800,89969,2431000
1995,"Central America","Volcanic activity",1,0,12000,0,0,12000,722
1995,"Northern America","Extreme temperature ",2,710,0,0,0,0,0
1995,"Northern America",Flood,7,19,120900,0,0,120900,3318300
1995,"Northern America",Storm,11,152,84000,160,2000,86160,13745000
1995,"Northern America",Wildfire,2,0,6500,0,0,6500,89500
1995,"South America",Earthquake,6,61,16082,417,4425,20924,1660
1995,"South America",Epidemic,3,2,148618,0,0,148618,0
1995,"South America","Extreme temperature ",2,2,35000,0,0,35000,10000
1995,"South America",Flood,9,207,277500,0,119800,397300,3000
1995,"South America","Insect infestation",1,0,0,0,0,0,104000
1995,"South America",Landslide,4,165,0,0,2000,2000,0
1995,"South America",Storm,1,6,6000,0,0,6000,0
1996,Caribbean,Flood,6,24,11106,0,1000,12106,0
1996,Caribbean,Landslide,1,0,175,0,0,175,0
1996,Caribbean,Storm,8,108,352310,3,67596,419909,518110
1996,Caribbean,"Volcanic activity",1,0,4000,0,0,4000,0
1996,"Central America",Drought,1,0,0,0,0,0,1200000
1996,"Central America",Flood,3,13,104000,0,0,104000,281000
1996,"Central America",Storm,12,127,727724,80,18750,746554,212120
1996,"Central America","Volcanic activity",1,0,743,0,0,743,0
1996,"Northern America",Flood,5,82,243115,0,12000,255115,3449600
1996,"Northern America",Storm,10,287,4000,131,0,4131,3400100
1996,"Northern America",Wildfire,2,1,0,50,0,50,8500
1996,"South America",Earthquake,3,48,70355,767,36305,107427,7000
1996,"South America",Epidemic,1,62,3000,0,0,3000,0
1996,"South America",Flood,7,27,243000,0,103700,346700,0
1996,"South America",Landslide,5,216,7000,105,110,7215,0
1997,Caribbean,Earthquake,1,0,0,2,15,17,25000
1997,Caribbean,Epidemic,1,3,823,0,0,823,0
1997,Caribbean,Flood,1,0,35000,0,0,35000,0
1997,Caribbean,"Volcanic activity",2,32,4000,0,200,4200,8000
1997,"Central America",Drought,2,0,290000,0,0,290000,2000
1997,"Central America",Earthquake,2,1,17000,0,0,17000,0
1997,"Central America","Extreme temperature ",2,292,0,0,0,0,4000
1997,"Central America",Landslide,1,12,0,0,0,0,0
1997,"Central America",Storm,4,246,754555,200,52000,806755,447800
1997,"Central America","Volcanic activity",1,20,0,0,0,0,0
1997,"Northern America",Flood,9,76,219950,24,400,220374,7465000
1997,"Northern America",Storm,24,181,4670,222,0,4892,2252000
1997,"Northern America",Wildfire,3,0,2600,0,0,2600,2500
1997,"South America",Drought,2,0,641200,0,0,641200,29000
1997,"South America",Earthquake,2,88,40000,781,16500,57281,129000
1997,"South America",Epidemic,4,19,26808,0,0,26808,0
1997,"South America",Flood,12,418,405207,291,93009,498507,528087
1997,"South America",Landslide,1,300,30000,0,0,30000,0
1997,"South America",Storm,6,559,582850,883,500,584233,12000
1997,"South America",Wildfire,2,10,1300,0,0,1300,0
1998,Caribbean,Drought,1,0,820000,0,0,820000,180000
1998,Caribbean,Storm,8,550,1024000,649,122000,1146649,6516500
1998,"Central America",Drought,2,0,0,0,0,0,193000
1998,"Central America",Earthquake,1,0,225,3,10,238,0
1998,"Central America",Epidemic,8,41,8823,0,0,8823,0
1998,"Central America","Extreme temperature ",1,100,0,0,0,0,0
1998,"Central America",Flood,2,432,30000,0,0,30000,602700
1998,"Central America",Landslide,2,63,0,8,120,128,0
1998,"Central America",Storm,11,19066,3245660,12228,1700,3259588,6009590
1998,"Central America","Volcanic activity",3,0,1808,0,0,1808,0
1998,"Central America",Wildfire,1,50,0,0,0,0,8000
1998,"Northern America","Extreme temperature ",1,130,0,0,0,0,4275000
1998,"Northern America",Flood,8,34,35100,0,5000,40100,1062000
1998,"Northern America",Storm,21,231,153547,495,1579,155621,11553450
1998,"Northern America",Wildfire,5,2,49032,124,65,49221,281100
1998,"South America",Drought,2,0,10100000,0,0,10100000,122000
1998,"South America",Earthquake,2,98,12350,90,7650,20090,0
1998,"South America",Epidemic,9,47,248279,0,0,248279,0
1998,"South America",Flood,8,88,406300,0,10500,416800,1111000
1998,"South America",Landslide,4,209,2600,30,0,2630,0
1998,"South America",Storm,1,0,4000,0,0,4000,0
1998,"South America",Wildfire,2,1,12000,0,0,12000,36000
1999,Caribbean,Epidemic,1,16,0,0,0,0,0
1999,Caribbean,Flood,1,13,0,0,50,50,0
1999,Caribbean,Storm,14,15,235307,67,29627,265001,826950
1999,Caribbean,Wildfire,1,0,0,0,0,0,0
1999,"Central America",Drought,1,0,65000,0,0,65000,100000
1999,"Central America",Earthquake,4,48,137705,455,35,138195,391600
1999,"Central America","Extreme temperature ",1,15,0,0,0,0,0
1999,"Central America",Flood,11,728,1145805,161,104861,1250827,456800
1999,"Central America",Storm,1,9,2000,0,2000,4000,0
1999,"Central America","Volcanic activity",3,0,6345,0,0,6345,0
1999,"Central America",Wildfire,1,0,0,0,0,0,0
1999,"Northern America",Drought,1,0,0,0,0,0,1100000
1999,"Northern America","Extreme temperature ",1,257,0,0,0,0,1000000
1999,"Northern America",Flood,1,0,100,0,0,100,300
1999,"Northern America",Storm,18,234,3054951,929,7190,3063070,12600600
1999,"Northern America",Wildfire,4,1,2300,0,219,2519,92000
1999,"South America",Drought,2,12,40000,0,0,40000,250000
1999,"South America",Earthquake,3,1187,752000,8643,453420,1214063,1857366
1999,"South America",Epidemic,3,36,2576,0,0,2576,0
1999,"South America",Flood,10,30127,758547,4308,424838,1187693,3160003
1999,"South America",Landslide,4,112,200,9,4400,4609,0
1999,"South America",Storm,2,3,0,0,1000,1000,500
1999,"South America","Volcanic activity",1,0,22000,0,2200,24200,0
1999,"South America",Wildfire,4,3,3500,0,3800,7300,280000
2000,Caribbean,Drought,2,0,0,0,0,0,6000
2000,Caribbean,Flood,3,18,675,0,1200,1875,0
2000,"Central America",Drought,2,0,1125,0,0,1125,0
2000,"Central America",Earthquake,2,7,1785,43,5650,7478,0
2000,"Central America",Epidemic,1,24,211,0,0,211,0
2000,"Central America","Extreme temperature ",1,66,0,0,0,0,0
2000,"Central America",Flood,8,178,10600,36,1250,11886,1300
2000,"Central America",Landslide,1,7,200,0,0,200,0
2000,"Central America",Storm,6,48,94910,570,0,95480,279460
2000,"Central America","Volcanic activity",2,0,41800,0,0,41800,0
2000,"Central America",Wildfire,1,0,0,0,0,0,0
2000,"Northern America",Drought,2,0,0,0,0,0,1100000
2000,"Northern America",Earthquake,1,0,25000,70,104,25174,50000
2000,"Northern America","Extreme temperature ",1,35,0,0,0,0,0
2000,"Northern America",Flood,8,8,1646,0,2000,3646,286000
2000,"Northern America",Storm,12,59,19218,457,4285,23960,1868600
2000,"Northern America",Wildfire,7,14,35400,2,685,36087,2500000
2000,"South America",Drought,1,0,20000,0,0,20000,0
2000,"South America",Earthquake,1,2,430,0,0,430,0
2000,"South America",Epidemic,2,8,100220,0,0,100220,0
2000,"South America","Extreme temperature ",6,43,25977,0,0,25977,10000
2000,"South America",Flood,20,291,297266,86,127251,424603,330000
2000,"South America","Insect infestation",1,0,0,0,0,0,0
2000,"South America",Landslide,5,125,150,60,143180,143390,75000
2000,"South America",Storm,3,1,0,0,530,530,0
2000,"South America",Wildfire,1,8,0,0,0,0,0
2001,Caribbean,Flood,2,28,14370,11,180,14561,146000
2001,Caribbean,Storm,7,12,5900175,12,200,5900387,515517
2001,"Central America",Drought,4,41,896596,0,0,896596,36400
2001,"Central America",Earthquake,3,1165,1582578,8124,0,1590702,1848550
2001,"Central America","Extreme temperature ",1,0,1850,0,0,1850,0
2001,"Central America",Flood,4,21,2437,0,775,3212,0
2001,"Central America",Storm,11,80,117952,11,26070,144033,658100
2001,"Northern America",Earthquake,1,1,0,400,0,400,2000000
2001,"Northern America",Epidemic,1,1,399,0,0,399,0
2001,"Northern America","Extreme temperature ",1,56,0,0,0,0,0
2001,"Northern America",Flood,5,12,19300,0,4500,23800,33000
2001,"Northern America",Storm,18,93,109404,251,71428,181083,6328800
2001,"Northern America",Wildfire,4,2,1329,10,0,1339,0
2001,"South America",Drought,1,0,1000000,0,0,1000000,0
2001,"South America",Earthquake,3,151,226500,2733,124865,354098,300000
2001,"South America","Extreme temperature ",2,23,3000,5,0,3005,0
2001,"South America",Flood,18,204,709345,236,9414,718995,924900
2001,"South America",Landslide,3,114,0,32,150,182,0
2001,"South America",Storm,5,40,2500,350,13300,16150,15000
2001,"South America","Volcanic activity",1,0,22770,0,0,22770,10975
2001,"South America",Wildfire,2,0,0,0,0,0,0
2002,Caribbean,Flood,4,43,100085,4,0,100089,21500
2002,Caribbean,Storm,9,15,326020,0,2000,328020,59730
2002,"Central America",Drought,2,0,82000,0,0,82000,210000
2002,"Central America",Epidemic,4,15,9144,0,0,9144,0
2002,"Central America","Extreme temperature ",1,50,0,0,0,0,0
2002,"Central America",Flood,12,64,238927,40,4648,243615,101550
2002,"Central America",Landslide,1,68,0,14,460,474,0
2002,"Central America",Storm,6,20,511600,230,0,511830,841100
2002,"Central America","Volcanic activity",2,0,300,0,0,300,0
2002,"Central America",Wildfire,1,0,16000,0,0,16000,0
2002,"Northern America",Drought,1,0,0,0,0,0,3300000
2002,"Northern America",Epidemic,3,216,3763,0,0,3763,0
2002,"Northern America","Extreme temperature ",1,14,0,0,0,0,0
2002,"Northern America",Flood,5,26,145750,0,0,145750,1013000
2002,"Northern America",Storm,15,339,18150,402,432,18984,6275000
2002,"Northern America",Wildfire,9,0,4100,11,2977,7088,232100
2002,"South America",Drought,2,0,21500,0,0,21500,0
2002,"South America",Earthquake,1,0,500,27,200,727,0
2002,"South America",Epidemic,2,57,317830,0,0,317830,0
2002,"South America","Extreme temperature ",2,0,25200,0,0,25200,0
2002,"South America",Flood,20,243,494762,179,7027,501968,319000
2002,"South America",Landslide,3,157,0,0,3500,3500,11000
2002,"South America","Mass movement (dry)",1,60,0,0,0,0,0
2002,"South America",Storm,5,84,105067,0,12700,117767,25000
2002,"South America","Volcanic activity",2,0,149650,0,0,149650,0
2002,"South America",Wildfire,2,0,0,0,0,0,80000
2003,Caribbean,Drought,1,0,35000,0,0,35000,0
2003,Caribbean,Earthquake,1,3,2000,15,0,2015,0
2003,Caribbean,Epidemic,1,40,200,0,0,200,0
2003,Caribbean,Flood,7,74,218465,73,12320,230858,44720
2003,Caribbean,Storm,3,34,10000,5,250,10255,0
2003,"Central America",Earthquake,4,33,178590,1223,340,180153,116300
2003,"Central America",Epidemic,1,304,50000,0,0,50000,0
2003,"Central America","Extreme temperature ",1,21,0,0,0,0,0
2003,"Central America",Flood,7,17,57400,55,3000,60455,20000
2003,"Central America",Landslide,2,32,420,0,0,420,0
2003,"Central America",Storm,2,4,9000,0,0,9000,100000
2003,"Central America",Wildfire,2,0,0,0,0,0,0
2003,"Northern America",Earthquake,1,2,0,40,120,160,200000
2003,"Northern America",Epidemic,2,43,237,0,0,237,0
2003,"Northern America",Flood,8,28,5670,0,0,5670,158000
2003,"Northern America",Landslide,1,15,0,15,0,15,0
2003,"Northern America",Storm,15,162,228195,367,15231,243793,15563600
2003,"Northern America","Volcanic activity",1,0,0,0,0,0,0
2003,"Northern America",Wildfire,4,19,27000,144,750,27894,4045000
2003,"South America",Drought,1,0,0,0,0,0,120000
2003,"South America","Extreme temperature ",1,339,1839888,0,0,1839888,0
2003,"South America",Flood,19,433,352555,669,221560,574784,1332210
2003,"South America",Landslide,3,106,1390,32,360,1782,0
2003,"South America",Storm,1,12,900,0,0,900,0
2003,"South America","Volcanic activity",1,0,25000,0,0,25000,0
2003,"South America",Wildfire,1,0,0,0,285,285,0
2004,Caribbean,Drought,1,0,0,0,0,0,3139
2004,Caribbean,Earthquake,2,1,200,13,40,253,0
2004,Caribbean,Flood,3,3353,39040,153,2092,41285,0
2004,Caribbean,Landslide,1,2,1200,0,0,1200,0
2004,Caribbean,Storm,23,2849,947301,2644,58928,1008873,8428580
2004,"Central America",Drought,1,0,137500,0,0,137500,0
2004,"Central America",Earthquake,1,8,255,0,25,280,0
2004,"Central America","Extreme temperature ",1,14,0,0,0,0,0
2004,"Central America",Flood,7,56,29854,40,0,29894,3600
2004,"Central America",Landslide,1,29,5751,18,0,5769,0
2004,"Central America",Storm,2,20,200,0,0,200,0
2004,"Northern America","Extreme temperature ",1,3,0,0,0,0,0
2004,"Northern America",Flood,6,1,6340,0,0,6340,705500
2004,"Northern America",Storm,17,215,5079184,57,753,5079994,55286500
2004,"Northern America",Wildfire,3,0,15200,5,282,15487,0
2004,"South America",Drought,3,0,55000,0,0,55000,1650000
2004,"South America",Earthquake,2,1,8016,22,500,8538,0
2004,"South America","Extreme temperature ",6,95,339467,1800000,0,2139467,0
2004,"South America",Flood,9,193,557162,181,6200,563543,370
2004,"South America",Landslide,1,11,0,6,70,76,0
2004,"South America",Storm,2,9,151645,65,80,151790,350000
2005,Caribbean,Flood,4,20,15528,5,0,15533,0
2005,Caribbean,Storm,15,108,2642816,53,185,2643054,2185000
2005,Caribbean,Wildfire,1,0,0,0,0,0,0
2005,"Central America",Earthquake,1,1,750,1,0,751,0
2005,"Central America",Flood,10,105,26330,0,800,27130,32000
2005,"Central America",Landslide,2,70,2500,35,0,2535,0
2005,"Central America",Storm,16,1693,3329463,386,305763,3635612,9389500
2005,"Central America","Volcanic activity",1,2,2000,0,0,2000,0
2005,"Northern America","Extreme temperature ",1,33,0,31,0,31,0
2005,"Northern America",Flood,8,57,23850,8,0,23858,1087330
2005,"Northern America",Storm,9,1882,830465,8,132,830605,158230000
2005,"Northern America",Wildfire,3,5,0,0,1410,1410,100000
2005,"South America",Drought,2,0,52990,0,0,52990,0
2005,"South America",Earthquake,3,16,29909,241,0,30150,5050
2005,"South America",Flood,12,363,952179,408,12198,964785,526100
2005,"South America",Storm,5,65,3186,68,540,3794,0
2005,"South America","Volcanic activity",1,0,0,0,0,0,0
2005,"South America",Wildfire,1,0,3000,0,0,3000,0
2006,Caribbean,Epidemic,1,3,280,0,0,280,0
2006,Caribbean,Flood,4,14,31190,10,0,31200,0
2006,Caribbean,Storm,2,5,15260,8,0,15268,0
2006,Caribbean,"Volcanic activity",1,0,200,0,0,200,0
2006,"Central America",Earthquake,1,0,16470,0,0,16470,0
2006,"Central America","Extreme temperature ",3,12,0,0,0,0,0
2006,"Central America",Flood,4,15,6640,0,1290,7930,8000
2006,"Central America",Landslide,2,21,0,0,0,0,0
2006,"Central America",Storm,3,15,270700,0,0,270700,2700
2006,"Central America",Wildfire,1,0,1436,0,0,1436,0
2006,"Northern America",Earthquake,1,0,3519,10,0,3529,150000
2006,"Northern America","Extreme temperature ",2,188,0,0,0,0,0
2006,"Northern America",Flood,16,41,77950,10,0,77960,1478500
2006,"Northern America",Storm,12,93,5405,258,0,5663,4727860
2006,"Northern America",Wildfire,3,5,0,18,267,285,66000
2006,"South America",Drought,1,0,0,0,0,0,0
2006,"South America",Epidemic,1,17,100000,0,0,100000,0
2006,"South America",Flood,12,232,696915,277,365,697557,206800
2006,"South America","Volcanic activity",5,5,320250,13,0,320263,150000
2007,Caribbean,Earthquake,3,1,0,101,0,101,0
2007,Caribbean,Flood,7,73,126850,92,15849,142791,0
2007,Caribbean,Storm,16,277,496601,177,1448,498226,1622700
2007,"Central America",Earthquake,1,0,0,18,1865,1883,0
2007,"Central America",Flood,11,72,1721725,0,0,1721725,3080000
2007,"Central America",Landslide,1,16,0,0,0,0,0
2007,"Central America",Storm,9,209,407931,0,30000,437931,621426
2007,"Northern America",Drought,1,0,0,0,0,0,300000
2007,"Northern America",Flood,7,80,9270,40,0,9310,728000
2007,"Northern America",Storm,15,251,7700,417,200,8317,5820000
2007,"Northern America",Wildfire,3,8,650000,64,927,650991,2815000
2007,"South America",Drought,1,0,1000000,0,0,1000000,0
2007,"South America",Earthquake,5,606,682415,1532,0,683947,700000
2007,"South America",Epidemic,1,1,228,0,0,228,0
2007,"South America","Extreme temperature ",5,82,884572,0,0,884572,0
2007,"South America",Flood,14,431,3987697,351,17000,4005048,800000
2007,"South America",Landslide,1,0,5000,0,0,5000,0
2007,"South America","Volcanic activity",1,0,3000,0,0,3000,0
2007,"South America",Wildfire,1,8,125000,0,0,125000,30000
2008,Caribbean,Flood,1,0,20000,0,0,20000,0
2008,Caribbean,Storm,21,735,796905,107,30,797042,4138198
2008,"Central America",Flood,14,192,764168,12,0,764180,19697
2008,"Central America",Landslide,2,49,0,0,0,0,0
2008,"Central America",Storm,6,43,590000,0,0,590000,75000
2008,"Northern America",Earthquake,1,0,2100,3,0,2103,0
2008,"Northern America","Extreme temperature ",1,0,0,0,0,0,0
2008,"Northern America",Flood,6,44,11034900,148,0,11035048,10002000
2008,"Northern America",Storm,14,258,2300550,597,0,2301147,45760000
2008,"Northern America",Wildfire,2,1,55000,20,300,55320,2000000
2008,"South America",Drought,2,4,45500,0,0,45500,0
2008,"South America",Earthquake,1,11,0,54,1700,1754,10000
2008,"South America",Epidemic,6,158,175860,0,0,175860,0
2008,"South America",Flood,14,387,3990732,130,38557,4029419,2036000
2008,"South America",Landslide,1,27,0,16,0,16,0
2008,"South America","Mass movement (dry)",1,12,0,0,0,0,0
2008,"South America",Storm,3,3,54310,0,1600,55910,0
2008,"South America","Volcanic activity",5,16,30351,7,0,30358,0
2009,Caribbean,Epidemic,1,25,3270,0,0,3270,0
2009,Caribbean,Flood,5,28,17361,0,9910,27271,52403
2009,"Central America",Drought,3,0,2545000,0,0,2545000,27000
2009,"Central America",Earthquake,2,38,178527,227,0,178754,300000
2009,"Central America",Epidemic,4,22,60106,0,0,60106,0
2009,"Central America",Flood,9,28,162103,14,0,162117,0
2009,"Central America","Mass movement (dry)",1,36,2037,0,991,3028,0
2009,"Central America",Storm,4,279,206897,0,15000,221897,979000
2009,"Northern America","Extreme temperature ",1,58,0,0,0,0,1100000
2009,"Northern America",Flood,5,11,9200,60,900,10160,666000
2009,"Northern America",Storm,12,76,750,161,0,911,10890000
2009,"Northern America",Wildfire,2,2,0,29,426,455,100000
2009,"South America",Drought,4,0,307500,0,0,307500,1700
2009,"South America",Epidemic,4,37,153680,0,0,153680,0
2009,"South America","Extreme temperature ",1,274,0,24262,0,24262,0
2009,"South America",Flood,15,284,2252052,424,2700,2255176,600820
